comicID,comicName,writerName,artistName,comicURL,previewThumbnailURL
1,Three Panel Soul,Matt Boyd,Ian McConville,http://www.threepanelsoul.com/,www.google.com
2,Mac Hall,Matt Boyd,Ian McConville,http://www.machall.com/,www.google.com
3,Nerf Now,Josué Pereira,Josué Pereira,http://www.nerfnow.com/,www.google.com
4,Girls With Slingshots,Danielle Corsetto,Danielle Corsetto,http://www.girlswithslingshots.com/,www.google.com
5,Johnny Wander,Ananth Hirsch,Yuko Ota,http://www.johnnywander.com/,www.google.com
6,Penny Arcade,"Jerry ""Tycho"" Holkins","Mike ""Gabe"" Krahulik",https://www.penny-arcade.com/,www.google.com
7,Camp Weedonwantcha,Katie Rice,Katie Rice,http://campcomic.com/comic/,www.google.com
8,Cucumber Quest,Gigi D.G.,Gigi D.G.,http://cucumber.gigidigi.com/,www.google.com
9,Sinfest,Tatsuya Ishida,Tatsuya Ishida,http://www.sinfest.net/,www.google.com
10,XKCD,Randall Munroe,Randall Munroe,https://xkcd.com/,www.google.com
11,Saturday Morning Breakfast Cereal,Zach Weinersmith,Zach Weinersmith,http://www.smbc-comics.com/,www.google.com
12,Gunnerkrigg Court,Tom Siddell,Tom Siddell,http://www.gunnerkrigg.com/,www.google.com
13,Maliki,Souillon,Souillon,http://maliki.com/,www.google.com
14,Homestuck,Andrew Hussie,Andrew Hussie,http://www.mspaintadventures.com/,www.google.com
15,VG Cats,Scott Ramsoomair,Scott Ramsoomair,http://www.vgcats.com/,www.google.com
16,8-Bit Theater,Brian Clevinger,Brian Clevinger,http://www.nuklearpower.com/8-bit-theater/,www.google.com
17,Awkward Zombie,Katie Tiedrich,Katie Tiedrich,http://www.awkwardzombie.com/,www.google.com
18,Punchline is Machismo,Kelly Turnbull,Kelly Turnbull,http://thepunchlineismachismo.com/,www.google.com
19,Brawl in the Family,Matthew Taranto,Matthew Taranto,http://brawlinthefamily.keenspot.com/,www.google.com
20,Nedroid,Anthony Clark,Anthony Clark,http://nedroid.com/,www.google.com
21,Moonbeard,James Squires,James Squires,http://moonbeard.com/,www.google.com
22,Dinosaur Comics,Ryan North,Ryan North,http://www.qwantz.com/index.php,www.google.com
23,Gunshow Comics,KC Green,KC Green,http://gunshowcomic.com/index.php,www.google.com
24,Terminal Lance,Maximilian Uriarte,Maximilian Uriarte,http://terminallance.com/,www.google.com
25,Three Word Phrase,Ryan Pequin,Ryan Pequin,http://threewordphrase.com/index.htm,www.google.com
26,A Softer World,Joey Comeau,Emily Horne,http://www.asofterworld.com/,www.google.com
27,Achewood,Chris Onstad,Chris Onstad,http://www.achewood.com/index.php?date=05192012,www.google.com
28,Thunderpaw,Jen Lee,Jen Lee,http://thunderpaw.co/,www.google.com
29,Something Positive,R.K. Milholland,R.K.Milholland,http://somethingpositive.net/,www.google.com
30,Cyanide and Happiness,"Dave McElfatrick, Kris Wilson and Rob DenBleyker","Dave McElfatrick, Kris Wilson and Rob DenBleyker",http://explosm.net/,www.google.com
31,Lackadaisy,Tracy J. Butler,Tracy J. Butler,http://www.lackadaisycats.com/,www.google.com
32,PREQUEL - The Adventures of Katia Managan,Kazerad,Kazerad,http://www.prequeladventure.com/,www.google.com
33,Bouletcorp,Boulet,Boulet,http://www.bouletcorp.com/,www.google.com
34,Order of the Stick,Rich Burlew,Rich Burlew,http://www.giantitp.com/Comics.html,www.google.com
35,Garfield Minus Garfield,Dan Walsh,Dan Walsh,http://garfieldminusgarfield.net/,www.google.com
36,The Dreamer,Lora Innes,Lora Innes,http://thedreamercomic.com/,www.google.com
37,Darths and Droids,The Comic Irregulars,The Comic Irregulars,http://www.darthsanddroids.net/,www.google.com
38,PvP,Scott Kurtz and Dylan Meconis,Scott Kurtz,http://pvponline.com/,www.google.com
39,DM of the Rings,Shamus Young,Shamus Young,http://www.shamusyoung.com/twentysidedtale/?cat=14,www.google.com
40,Octopus Pie,Meredith Gran,Meredith Gran,http://www.octopuspie.com/,www.google.com
41,Destructor,Sean T. Collins,Matt Wiegle,http://www.destructorcomics.com/,www.google.com
42,Nimona,Noelle Stevenson,Noelle Stevenson,http://gingerhaze.com/nimona,www.google.com
43,Spera,Josh Tierny,Various,http://spera-comic.com/onlinecomics/onlinecomics.html,www.google.com
44,The Abominable Charles Christopher,Karl Kerschl,Karl Kerschl,http://abominable.cc,www.google.com
45,Agents of the Realm,Mildred Louis,Mildred Louis,http://www.agentsoftherealm.com/,www.google.com
46,Dumbing of Age,David Willis,David Willis,http://www.dumbingofage.com/,www.google.com
47,Gronk,Katie Cook,Katie Cook,http://www.gronkcomic.com/,www.google.com
48,Loading Artist,Gregor Czaykowski,Gregor Czaykowski,http://www.loadingartist.com/,www.google.com
49,The Oatmeal,Matthew Inman,Matthew Inman,http://theoatmeal.com/,www.google.com
50,Big Fat Comics,Dan Wheeler,Dan Wheeler,http://www.bigfatcomics.com/,www.google.com
51,They Can Talk,Jimmy Craig,Jimmy Craig,http://theycantalk.com/,www.google.com
52,Jhall Comics,Justin Hall,Justin Hall,http://jhallcomics.com/,www.google.com
53,Arcade Rage,Mart Virkus,Mart Virkus,https://arcaderage.co/,www.google.com
54,Rock Paper Scissors,Alex Shenkin,Alex Shenkin,http://rps.smackjeeves.com/,www.google.com
55,Lunarbaboon,Chris Grady,Chris Grady,http://www.lunarbaboon.com/,www.google.com
56,Quark!,Hadria Beth,Hadria Beth,https://quarktees.com,www.google.com
57,Minimumble,Chris Hallbeck,Chris Hallbeck,http://minimumble.thebookofbiff.com/,www.google.com
58,The Non-Adventures of Wonderella,Justin Pierce,Justin Pierce,http://nonadventures.com/,www.google.com
59,The Perry Bible Fellowship,Nicholas Gurewitch,Nicholas Gurewitch,http://pbfcomics.com/,www.google.com
60,Fail By Error,Min Christensen,Min Christensen,https://tapastic.com/series/Fail-by-Error,www.google.com
61,Ava's Demon,Michelle Czajkowski,Michelle Czajkowski,http://www.avasdemon.com/,www.google.com
62,Heck If I Know Comics,Charlie Higson,Charlie Higson,http://heckifiknowcomics.com/,www.google.com
63,Let's Speak English,Mary Cagle,Mary Cagle,http://www.marycagle.com/,www.google.com
64,Scurry,Mac Smith,Mac Smith,http://www.scurrycomic.com/,www.google.com
65,Fish Nuggets,Lydia T.J. Ling,Lydia T.J. Ling,https://tapastic.com/series/Fish-Nuggets,www.google.com
66,BFGFS,Patsy Chen and Ray Cheng,Patsy Chen,https://tapastic.com/series/BFGFS,www.google.com
67,Intragalactic,Steph Cherrywell,Steph Cherrywell,http://intragalacticcomic.com/,www.google.com
68,Extra Ordinary,Li Chen,Li Chen,http://www.exocomics.com/,www.google.com
69,Owlturd,Shenanigansen,Shenanigansen,http://owlturd.com/,www.google.com
70,Girl Genius,Phil Foglio,Phil Foglio,http://www.girlgeniusonline.com/,www.google.com
71,"Stand Still, Stay Silent",Minna Sundberg,Minna Sundberg,http://www.sssscomic.com/,www.google.com
72,Unsounded,Ashley Cope,Ashley Cope,http://unsoundedcomic.com/,www.google.com
73,Hark!  A Vagrant,Kate Beaton,Kate Beaton,http://www.harkavagrant.com/,www.google.com
74,Bongcheon-Dong Ghost,HORANG,HORANG,http://comic.naver.com/webtoon/detail.nhn?titleId=350217&no=31&weekday=tue,www.google.com
75,Emily Carroll Art & Comics,Emily Carroll,Emily Carroll,http://emcarroll.com/,www.google.com
76,Split Lip,Sam Costello,Various,http://www.splitlipcomic.com/,www.google.com
77,False Positive,Mike Walton,Mike Walton,http://falsepositivecomic.com/,www.google.com
78,Agreeable Comics,Kevin Church,Various,http://www.agreeablecomics.com/site/,www.google.com
79,Little Green God of Agony,Stephen King,Dennis Calero,http://stephenking.com/promo/little_green_god_of_agony/,www.google.com
80,Digger,Ursula Vernon,Ursula Vernon,http://diggercomic.com/,www.google.com
81,Scary Go Round,John Allison,John Allison,http://www.scarygoround.com/sgr/,www.google.com
82,Bite Me!,Dylan Meconis,Dylan Meconis,http://www.bitemecomic.com/,www.google.com
83,The Phoenix Requiem,Sarah Ellerton,Sarah Ellerton,http://requiem.seraph-inn.com/,www.google.com
84,Rice Boy,Evan Dahm,Evan Dahm,http://www.rice-boy.com/see/,www.google.com
85,Vattu,Evan Dahm,Evan Dahm,http://www.rice-boy.com/vattu/,www.google.com
86,Narbonic,Shaenon K. Garrity,Shaenon K. Garrity,http://narbonic.com/,www.google.com
87,Freak Angels,Warren Ellis,Paul Duffield,http://www.freakangels.com/,www.google.com
88,A Redtail's Dream,Minna Sundberg,Minna Sundberg,http://www.minnasundberg.fi/artd.php,www.google.com
89,Starslip,Kris Straub,Kris Straub,http://starslip.chainsawsuit.com/,www.google.com
90,Fans!,T Campbell,Waltrips,http://www.faans.com/,www.google.com
91,YU+ME,Megan Rose Gedris,Megan Rose Gedris,http://rosalarian.com/yume/,www.google.com
92,Crawdads Welcome,Ezra Butt,Ezra Butt,http://crawdadswelcome.tumblr.com/,www.google.com
93,Romantically Apocalyptic,Vitaly S. Alexius,Various,http://romanticallyapocalyptic.com/,www.google.com
94,Eat More Bikes,Nathan Bulmer,Nathan Bulmer,http://eatmorebikes.tumblr.com/,www.google.com
95,Electric Bunny Comics,Dingo,Dingo,http://electricbunnycomics.com/,www.google.com
96,Sfeer Theory,Alex Singer,Jayd Aït-Kaci,http://www.sfeertheory.com/,www.google.com
97,BLUE,Pat Grant,Pat Grant,http://www.boltonblue.com/,www.google.com
98,Hobo Lobo of Hamelin,Stevan Živadinović,Stevan Živadinović,http://hobolobo.net/,www.google.com
99,PHD Comics,Jorge Cham,Jorge Cham,http://www.phdcomics.com/,www.google.com
100,Hyperbole and a Half,Allie Brosh,Allie Brosh,http://hyperboleandahalf.blogspot.com/,www.google.com
